related_ticker,ticker
KMB,PG
CLX,PG
UL,PG
KVUE,PG
EL,PG
HIMS,PG
ELF,PG
CHD,PG
HNST,PG
LTH,PLNT
YETI,PLNT
AS,PLNT
FUN,PLNT
MODG,PLNT
MAT,PLNT
XPOF,PLNT
HAS,PLNT
PTON,PLNT
LUCK,PLNT
NFYEF,PSNYW
GRUA.F,PSNYW
BY6A.DU,PSNYW
GGROW,PSNYW
POAHF,PSNYW
600104.SS,PSNYW
DRPRY,PSNYW
GELYY,PSNYW
BY6.MU,PSNYW
000270.KS,PSNYW
SOFI,PYPL
V,PYPL
MA,PYPL
UPST,PYPL
AXP,PYPL
COF,PYPL
DFS,PYPL
SEZL,PYPL
ALLY,PYPL
OPFI,PYPL
YUM,QSR
WEN,QSR
PZZA,QSR
DRI,QSR
DPZ,QSR
DIN,QSR
JACK,QSR
SHAK,QSR
YUMC,QSR
TXRH,QSR
NBIS,RDDT
META,RDDT
GOOGL,RDDT
GOOG,RDDT
BIDU,RDDT
SPOT,RDDT
SNAP,RDDT
PINS,RDDT
DJT,RDDT
DASH,RDDT
PER.DE,REMYF
BF-A,REMYF
MGPI,REMYF
RI.PA,REMYF
COOP,RKT
UWMC,RKT
FNMA,RKT
FMCC,RKT
LDI,RKT
FNMAS,RKT
PFSI,RKT
WD,RKT
GHLD,RKT
VEL,RKT
DIS,ROKU
NFLX,ROKU
SIRI,ROKU
WBD,ROKU
AMC,ROKU
PARA,ROKU
IQ,ROKU
LYV,ROKU
TKO,ROKU
PLAY,ROKU
TAP,SAM
FMX,SAM
CCU,SAM
BUD,SAM
ABEV,SAM
STZ,SAM
HEINY,SAM
TAP-A,SAM
ABI.BR,SAM
BDWBF,SAM
CROX,SKX
BIRK,SKX
DECK,SKX
ONON,SKX
WWW,SKX
SHOO,SKX
RCKY,SKX
ADS.DE,SKX
NKE,SKX
ADDYY,SKX
FMC,SMG
CF,SMG
CTVA,SMG
MOS,SMG
NTR,SMG
UAN,SMG
IPI,SMG
ICL,SMG
CTA-PB,SMG
YAR.OL,SMG
PYPL,SOFI
UPST,SOFI
V,SOFI
AXP,SOFI
MA,SOFI
COF,SOFI
DFS,SOFI
SEZL,SOFI
ALLY,SOFI
OPFI,SOFI
XIACY,SONY
